Sequence_type,NG-STAR CC
1122,2146
1123,213
1124,427
1125,2720
1126,3574
1127,158
1128,352
1129,1271
1130,90
1131,3692
1132,1054
1133,199
1134,427
1135,348
1136,Ungroupable
1137,428
1138,2473
1139,426
1140,2441
1141,428
1142,1118
1143,199
1144,1118
1145,348
1146,90
1147,1216
1148,199
1149,1118
1150,1157
1151,38
1152,127
1153,Ungroupable
1154,732
1155,2441
1156,Ungroupable
1157,199
1158,2337
1159,348
1160,2441
1161,199
1162,348
1163,Ungroupable
1164,497
1165,199
1166,348
1167,1695
1168,2480
1169,427
1170,348
1171,90
1172,Ungroupable
1173,1118
1174,3297
1175,501
1176,38
1177,1157
1178,199
1179,199
1180,2288
1181,199
1182,1157
1183,199
1184,348
1185,199
1186,Ungroupable
1187,Ungroupable
1188,348
1189,2442
1190,199
1191,221
1192,2441
1193,199
1194,2467
1195,428
1196,90
1197,199
1198,1687
1199,199
1200,4520
1201,4353
1202,714
1203,426
1204,426
1205,4688
1206,958
1207,309
1208,2753
1209,561
1210,1271
1211,309
1212,3470
1213,2098
1214,124
1215,401
1216,38
1217,199
1218,137
1219,158
1220,1340
1221,231
1222,346
1223,309
1224,896
1225,38
1226,2069
1227,1885
1228,271
1229,348
1230,309
1231,2069
1232,348
1233,158
1234,127
1235,127
1236,348
1237,3380
1238,1096
1239,127
1240,1236
1241,1096
1242,309
1243,319
1244,Ungroupable
1245,754
1246,348
1247,1603
1248,Ungroupable
1249,309
1250,271
1251,213
1252,63
1253,1254
1254,73
1255,1271
1256,426
1257,464
1258,90
1259,124
1260,949
1261,2720
1262,1771
1263,158
1264,199
1265,Ungroupable
1266,426
1267,20
1268,301
1269,42
1270,426
1271,1271
1272,Ungroupable
1273,3472
1274,4825
1275,1271
1276,3087
1277,455
1278,Ungroupable
1279,38
1280,2717
1281,190
1282,271
1283,1603
1284,1271
1285,606
1286,3380
1287,714
1288,38
1289,73
1290,Ungroupable
1291,55
1292,1271
1293,271
1294,559
1295,442
1296,309
1297,732
1298,2028
1299,732
1300,426
1301,3311
1302,38
1303,426
1304,309
1305,158
1306,199
1307,4829
1308,1665
1309,949
1310,212
1311,1665
1312,309
1313,309
1314,Ungroupable
1315,271
1316,1695
1317,20
1318,1362
1319,271
1320,896
1321,427
1322,409
1323,1271
1324,199
1325,20
1326,309
1327,137
1328,271
1329,38
1330,2599
1331,348
1332,124
1333,124
1334,137
1335,3087
1336,1215
1337,3087
1338,142
1339,958
1340,1340
1341,533
1342,63
1343,426
1344,470
1345,1271
1346,2209
1347,896
1348,137
1349,427
1350,426
1351,158
1352,158
1353,2599
1354,1096
1355,Ungroupable
1356,309
1357,567
1358,Ungroupable
1359,309
1360,1603
1361,463
1362,1271
1363,Ungroupable
1364,199
1365,1271
1366,38
1367,427
1368,1038
1369,309
1370,63
1371,1819
1372,158
1373,42
1374,158
1375,55
1376,231
1377,231
1378,Ungroupable
1379,427
1380,20
1381,606
1382,240
1383,158
1384,1038
1385,247
1386,90
1387,1387
1388,221
1389,515
1390,231
1391,348
1392,199
1393,1418
1394,1430
1395,893
1396,Ungroupable
1397,289
1398,1024
1399,127
1400,893
1401,661
1402,1430
1403,237
1404,1412
1405,893
1406,1412
1407,1430
1408,237
1409,1958
1410,20
1411,237
1412,663
1413,520
1414,1077
1415,20
1416,1418
1417,533
1418,20
1419,520
1420,158
1421,893
1422,307
1423,307
1424,42
1425,4919
1426,237
1427,3597
1428,237
1429,17
1430,20
1431,2035
1432,17
1433,17
1434,190
1435,893
1436,497
1437,17
1438,661
1439,352
1440,3597
1441,3087
1442,Ungroupable
1443,867
1444,Ungroupable
1445,17
1446,190
1447,283
1448,190
1449,190
1450,190
1451,Ungroupable
1452,755
1453,186
1454,309
1455,559
1456,Ungroupable
1457,309
1458,42
1459,42
1460,90
1461,55
1462,213
1463,127
1464,221
1465,137
1466,17
1467,3087
1468,51
1469,3117
1470,4825
1471,90
1472,190
1473,1115
1474,1115
1475,139
1476,3087
1477,1418
1478,3087
1479,348
1480,158
1481,165
1482,1449
1483,20
1484,20
1485,168
1486,168
1487,168
1488,168
1489,501
1490,168
1491,213
1492,199
1493,1387
1494,958
1495,1054
1496,958
1497,958
1498,1054
1499,3597
1500,1583
1501,199
1502,1039
1503,168
1504,301
1505,352
1506,Ungroupable
1507,90
1508,2209
1509,426
1510,190
1511,151
1512,1513
1513,168
1514,168
1515,2904
1516,4718
1517,1115
1518,4718
1519,3035
1520,3597
1521,42
1522,158
1523,20
1524,158
1525,1632
1526,1526
1527,141
1528,142
1529,907
1530,464
1531,577
1532,4520
1533,1749
1534,279
1535,352
1536,90
1537,1054
1538,1586
1539,893
1540,1054
1541,1958
1542,352
1543,958
1544,190
1545,311
1546,137
1547,137
1548,1054
1549,893
1550,1054
1551,1054
1552,755
1553,3087
1554,2351
1555,3264
1556,4353
1557,178
1558,2098
1559,190
1560,309
1561,1096
1562,73
1563,141
1564,178
1565,178
1566,190
1567,1271
1568,2904
1569,1771
1570,893
1571,4758
1572,1387
1573,307
1574,199
1575,2753
1576,Ungroupable
1577,127
1578,409
1579,Ungroupable
1580,137
1581,395
1582,90
1583,1054
1584,1054
1585,468
1586,1603
1587,90
1588,141
1589,137
1590,127
1591,4718
1592,1115
1593,1054
1595,268
1596,933
1597,124
1598,137
1599,2047
1600,127
1601,26
1602,442
1603,1603
1604,199
1605,199
1606,199
1607,309
1608,352
1609,497
1610,Ungroupable
1611,497
1612,497
1613,561
1614,520
1615,1387
1616,42
1617,137
1618,199
1619,90
1620,4123
1621,233
1622,233
1623,958
1624,1771
1625,309
1626,Ungroupable
1627,1271
1628,309
1629,Ungroupable
1630,1958
1631,3597
1632,309
1633,1958
1634,1271
1635,1632
1636,1958
1637,2958
1638,348
1639,1771
1640,1958
1641,309
1642,1494
1643,309
1644,3183
1645,1418
1646,4835
1647,Ungroupable
1648,352
1649,1054
1650,1583
1651,1271
1652,1632
1653,1627
1654,1649
1655,4353
1656,199
1657,436
1658,427
1659,732
1660,4660
1661,426
1662,4353
1663,1771
1664,3692
1665,4353
1666,427
1667,1271
1668,2069
1669,1771
1670,4733
1671,4353
1672,4199
1673,426
1674,1096
1675,1271
1676,1885
1677,427
1678,348
1679,427
1680,1489
1681,348
1682,348
1683,199
1684,497
1685,346
1686,1696
1687,199
1688,199
1689,345
1690,199
1691,38
1692,2753
1693,127
1694,348
1695,90
1696,199
1697,199
1698,1698
1699,497
1700,199
1701,428
1702,2778
1703,428
1704,348
1705,199
1706,199
1707,199
1708,497
1709,199
1710,127
1711,199
1712,168
1713,42
1714,190
1715,199
1716,348
1717,1179
1718,497
1719,199
1720,4353
1721,1665
1722,4353
1723,426
1724,4353
1725,1839
1726,1203
1727,559
1728,455
1729,732
1730,268
1731,352
1732,928
1733,104
1734,928
1735,348
1736,73
1737,199
1738,199
1739,221
1740,221
1741,4439
1742,497
1743,199
1744,348
1745,554
1746,958
1747,1054
1748,4530
1749,893
1750,1529
1751,426
1752,426
1753,309
1754,893
1755,309
1756,1890
1757,4735
1758,4728
1759,1271
1760,352
1761,436
1762,309
1763,271
1764,1632
1765,42
1766,4725
1767,958
1768,1632
1769,1271
1770,4728
1771,427
1772,352
1781,732
1782,427
1783,1367
1784,426
1785,3344
1786,2069
1787,199
1788,2209
1789,4353
1791,4353
1792,Ungroupable
1793,714
1794,168
1797,1665
1798,714
1799,714
1800,714
1802,1271
1803,1764
1804,426
1805,1387
1807,90
1808,42
1809,426
1810,1387
1811,352
1812,436
1813,1606
1815,1387
1816,199
1817,42
1818,1818
1819,63
1820,42
1821,42
1822,442
1823,42
1824,1387
1825,1950
1827,1387
1828,1387
1830,622
1831,606
1832,1387
1833,4728
1834,893
1835,893
1836,896
1837,896
1838,949
1839,1839
1840,4439
1841,309
1842,271
1843,427
1844,55
1845,390
1846,73
1847,124
1848,442
1849,436
1850,2069
1851,1203
1852,Ungroupable
1853,714
1854,1665
1855,1751
1856,309
1857,1340
1858,1722
1859,Ungroupable
1860,1665
1861,1667
1862,455
1863,90
1864,1603
1865,1632
1866,168
1867,73
1868,160
1869,1615
1870,42
1871,893
1872,42
1873,1096
1874,1056
1875,63
1876,427
1877,124
1878,2047
1879,958
1880,1958
1881,137
1882,231
1883,51
1884,182
1885,1885
1886,199
1887,231
1888,893
1889,55
1890,1271
1891,190
1892,Ungroupable
1893,178
1894,Ungroupable
1895,73
1896,732
1897,231
1898,442
1899,Ungroupable
1900,426
1901,1054
1902,3380
1903,178
1904,2018
1905,2351
1906,55
1907,3574
1908,1804
1909,467
1910,433
1911,467
1912,426
1913,426
1914,42
1915,264
1916,Ungroupable
1917,168
1918,436
1919,63
1920,427
1921,1126
1922,Ungroupable
1923,1959
1924,1487
1925,4661
1926,309
1927,714
1928,1487
1929,1271
1930,1271
1931,455
1932,2717
1933,309
1934,1627
1935,1635
1936,1632
1937,4758
1938,426
1939,1607
1940,1543
1941,4728
1942,1754
1943,1054
1944,4735
1945,309
1946,4758
1947,426
1948,42
1949,Ungroupable
1950,2580
1951,158
1952,442
1953,2430
1954,1203
1955,949
1956,309
1957,1340
1958,190
1959,264
1960,1387
1961,199
1962,1271
1963,352
1964,301
1965,567
1966,1603
1967,1340
1968,754
1969,1387
1970,168
1971,168
1972,4728
1973,4960
1974,1271
1975,38
1976,3409
1977,2467
1978,1771
1979,3574
1980,426
1981,1038
1982,168
1983,714
1984,3111
1985,63
1986,845
1987,Ungroupable
1988,Ungroupable
1989,Ungroupable
1990,Ungroupable
1991,199
1992,Ungroupable
1993,213
1994,307
1995,307
1996,182
1997,63
1998,63
1999,352
2001,63
2002,63
2004,352
2005,949
2006,Ungroupable
2007,Ungroupable
2008,2924
2009,301
2010,352
2011,390
2012,1038
2013,20
2014,20
2015,20
2016,Ungroupable
2017,127
2018,4960
2019,309
2020,1096
2021,2069
2022,85
2023,311
2024,1603
2025,2033
2026,42
2027,42
2028,352
2029,42
2030,42
2031,1603
2032,2033
2033,42
2034,42
2035,893
2036,1458
2037,352
2038,2041
2039,2028
2040,2028
2041,352
2042,2028
2043,178
2044,309
2045,1096
2046,309
2047,439
2048,2047
2049,55
2050,1115
2051,307
2052,928
2053,352
2054,217
2055,178
2056,2057
2057,309
2058,309
2059,268
2060,2028
2061,309
2062,309
2063,53
2064,1603
2065,309
2066,309
2067,1096
2068,1096
2069,309
2070,2069
2071,309
2072,309
2073,1096
2074,309
2075,309
2076,309
2077,90
2078,178
2079,2033
2080,309
2081,63
2082,63
2083,3390
2084,73
2085,896
2086,2041
2087,2036
2088,268
2089,2973
2090,2018
2091,2018
2092,2033
2093,217
2094,1665
2095,Ungroupable
2096,2098
2097,2098
2098,2098
2099,217
2100,239
2101,2028
2102,870
2103,2076
2104,190
2105,90
2106,90
2107,3901
2108,90
2109,90
2110,256
2111,90
2112,90
2113,90
2114,468
2115,190
2116,239
2117,2117
2118,3597
2119,268
2120,3111
2121,1340
2122,2033
2123,4960
2124,137
2125,2804
2126,268
2127,384
2128,2028
2129,309
2130,26
2131,470
2132,217
2133,2041
2134,2034
2135,309
2136,20
2137,309
2138,309
2139,1096
2140,264
2141,90
2142,2028
2143,90
2144,63
2145,2039
2146,1418
2147,2069
2148,1387
2149,442
2150,42
2151,42
2152,520
2153,348
2154,319
2155,2036
2156,896
2157,409
2158,55
2159,455
2160,2069
2161,Ungroupable
2162,Ungroupable
2163,137
2164,129
2165,345
2166,178
2167,178
2168,352
2169,178
2170,1603
2171,231
2172,182
2173,896
2174,168
2175,42
2176,Ungroupable
2177,1387
2178,1387
2179,38
2180,42
2181,194
2182,42
2183,63
2184,168
2185,1460
2186,1959
2187,168
2188,442
2189,1157
2190,127
2191,1387
2192,63
2193,63
2194,439
2195,3597
2196,754
2197,1126
2198,754
2199,4713
2200,2192
2201,199
2202,427
2203,55
2204,1124
2205,433
2206,426
2207,427
2208,199
2209,896
2210,958
2211,958
2212,73
2213,42
2214,90
2215,4353
2216,307
2217,893
2218,2035
2219,870
2220,Ungroupable
2221,2028
2222,801
2223,4422
2224,63
2225,2117
2226,90
2227,63
2228,931
2229,Ungroupable
2230,124
2231,42
2232,2053
2233,Ungroupable
2234,309
2235,4735
2236,352
2237,309
2238,233
2239,199
2240,1038
2241,1271
2242,Ungroupable
2243,199
2244,3867
2245,199
2246,199
2247,199
2248,37
2249,2436
2250,1687
2251,199
2252,199
2253,90
2254,90
2255,73
2256,199
2257,90
2258,199
2259,124
2260,199
2261,199
2262,Ungroupable
2263,1696
2264,2430
2265,124
2266,199
2267,199
2268,124
2269,124
2270,3867
2271,517
2272,127
2273,73
2274,348
2275,428
2276,1118
2277,73
2278,199
2279,233
2280,1696
2281,38
2282,2441
2283,3264
2284,2254
2285,2441
2286,1698
2287,2441
2288,3336
2289,38
2290,38
2291,199
2292,1696
2293,199
2294,1118
2295,199
2296,348
2297,199
2298,199
2299,1696
2300,428
2301,1118
2302,428
2303,1118
2304,1118
2305,1696
2306,1695
2307,199
2308,514
2309,348
2310,73
2311,1118
2312,1105
2313,127
2314,1698
2315,929
2316,929
2317,2436
2318,514
2319,1142
2320,514
2321,348
2322,199
2323,199
2324,127
2325,1229
2326,124
2327,199
2328,Ungroupable
2329,124
2330,798
2331,1118
2332,4439
2333,2758
2334,515
2335,1696
2336,2441
2337,1938
2338,1695
2339,199
2340,3805
2341,798
2342,73
2343,346
2344,501
2345,1687
2346,501
2347,73
2348,501
2349,348
2350,497
2351,2351
2352,221
2353,2352
2354,Ungroupable
2355,2351
2356,221
2357,Ungroupable
2358,199
2359,199
2360,2457
2361,90
2362,90
2363,497
2364,1656
2365,1118
2366,127
2367,127
2368,309
2369,199
2370,2473
2371,199
2372,124
2373,199
2374,497
2375,1118
2376,1463
2377,26
2378,428
2379,199
2380,Ungroupable
2381,497
2382,4439
2383,2473
2384,231
2385,38
2386,4439
2387,452
2388,3285
2389,221
2390,348
2391,309
2392,2435
2393,199
2394,1155
2395,2454
2396,90
2397,1155
2398,2351
2399,1096
2400,345
2401,426
2402,1900
2403,199
2404,2480
2405,127
2406,427
2407,2352
2408,427
2409,Ungroupable
2410,3264
2411,1464
2412,199
2413,427
2414,427
2415,898
2416,517
2417,470
2418,199
2419,221
2420,2337
2421,1216
2422,2288
2423,221
2424,501
2425,936
2426,427
2427,199
2428,199
2429,199
2430,199
2431,124
2432,199
2433,199
2434,929
2435,199
2436,124
2437,127
2438,199
2439,1696
2440,1696
2441,2441
2442,1696
2443,2288
2444,2431
2445,38
2446,199
2447,1696
2448,1118
2449,1118
2450,2436
2451,929
2452,38
2453,1118
2454,514
2455,1687
2456,2454
2457,199
2458,345
2459,1118
2460,2467
2461,203
2462,2442
2463,1118
2464,1698
2465,501
2466,1695
2467,2467
2468,1216
2469,2351
2470,26
2471,497
2472,2453
2473,4439
2474,4439
2475,2473
2476,426
2477,426
2478,Ungroupable
2479,4103
2480,427
2481,199
2482,127
2483,221
2484,2473
2485,2351
2486,2480
2487,348
2488,199
2489,1118
2490,2438
2491,1142
2492,929
2493,2530
2494,1118
2495,497
2496,38
2497,1698
2498,1463
2499,4118
2500,2473
2501,124
2502,73
2503,127
2504,199
2505,1144
2506,199
2507,1696
2508,1687
2509,1707
2510,497
2511,436
2512,199
2513,38
2514,352
2515,4353
2516,1223
2517,1560
2518,264
2519,55
2520,3574
2521,427
2522,1938
2523,3597
2524,2028
2525,190
2526,158
2527,2028
2528,2530
2529,1118
2530,38
2531,199
2532,73
2533,Ungroupable
2534,90
2535,348
2536,4439
2537,427
2538,427
2539,199
2540,1696
2541,2288
2542,221
2543,4103
2544,1695
2545,124
2546,520
2547,90
2548,190
2549,124
2550,141
2551,124
2552,124
2553,3087
2554,15
2555,307
2556,Ungroupable
2557,20
2558,1115
2559,1603
2560,352
2561,1603
2562,1054
2563,401
2564,124
2565,63
2566,929
2567,127
2568,1096
2569,3311
2570,949
2571,158
2572,517
2573,192
2574,348
2575,893
2576,1340
2577,893
2578,199
2579,1771
2580,190
2581,433
2582,577
2583,124
2584,90
2585,1353
2586,352
2587,3087
2588,1603
2589,517
2590,265
2591,17
2592,3477
2593,426
2594,231
2595,Ungroupable
2596,426
2597,3461
2598,567
2599,907
2600,1359
2601,426
2602,158
2603,2064
2604,1271
2605,63
2606,Ungroupable
2607,90
2608,352
2609,520
2610,426
2611,1387
2612,426
2613,1340
2614,427
2615,42
2616,2720
2617,1340
2618,436
2619,2069
2620,63
2621,426
2622,124
2623,4386
2624,2047
2625,2117
2626,1771
2627,2724
2628,1997
2629,1458
2630,1271
2631,311
2632,2047
2633,26
2634,Ungroupable
2635,309
2636,3111
2637,309
2638,2088
2639,217
2640,1096
2641,2028
2642,1367
2643,1115
2644,307
2645,3087
2646,2069
2647,1900
2648,2069
2649,4520
2650,390
2651,426
2652,520
2653,442
2654,124
2655,301
2656,426
2657,442
2658,307
2659,2069
2660,1362
2661,3178
2662,230
2663,90
2664,4960
2665,1543
2666,1054
2667,1054
2668,559
2669,1054
2670,2209
2671,Ungroupable
2672,15
2673,352
2674,468
2675,42
2676,348
2677,348
2678,348
2679,348
2680,267
2681,90
2682,90
2683,1135
2684,22
2685,348
2686,127
2687,90
2688,199
2689,90
2690,127
2691,348
2692,127
2693,1236
2694,127
2695,124
2696,124
2697,319
2698,90
2699,464
2700,127
2701,2703
2702,2703
2703,409
2704,754
2705,1885
2706,63
2707,63
2708,1387
2709,1387
2710,Ungroupable
2711,Ungroupable
2712,442
2713,Ungroupable
2714,430
2715,168
2716,Ungroupable
2717,958
2718,1883
2719,433
2720,2720
2721,958
2722,2167
2723,1126
2724,893
2725,Ungroupable
2726,1271
2727,1387
2728,Ungroupable
2729,1885
2730,199
2731,63
2732,1387
2733,1353
2734,1997
2735,38
2736,Ungroupable
2737,199
2738,2288
2739,2467
2740,501
2741,158
2742,348
2743,2753
2744,73
2745,501
2746,4439
2747,199
2748,Ungroupable
2749,73
2750,73
2751,26
2752,38
2753,199
2754,199
2755,2351
2756,1118
2757,Ungroupable
2758,1142
2759,Ungroupable
2760,2435
2761,38
2762,2351
2763,2351
2764,345
2765,90
2766,199
2767,2467
2768,2433
2769,199
2770,2457
2771,199
2772,38
2773,4162
2774,1216
2775,73
2776,158
2777,2778
2778,127
2779,37
2780,345
2781,4392
2782,1271
2783,1102
2784,514
2785,90
2786,2436
2787,199
2788,Ungroupable
2789,2351
2790,199
2791,345
2792,127
2793,199
2794,38
2795,1695
2796,477
2797,1118
2798,38
2799,3129
2800,38
2801,1055
2802,1118
2803,2351
2804,2351
2805,38
2806,1148
2807,38
2808,2336
2809,2288
2810,2351
2811,38
2812,127
2813,127
2814,73
2815,73
2816,1387
2817,137
2818,390
2819,2035
2820,42
2821,63
2822,Ungroupable
2823,Ungroupable
2824,231
2825,426
2826,1401
2827,352
2828,288
2829,2069
2830,63
